,Element,description,URI,Label,Status,ParentClass,Properties,InheritedProperties,Subclasses,SeeAlso,FRBRElement,Range,Domain
Instrument,class,"Any of various devices or contrivances that can be used to produce musical tones or sound.                  Any taxonomy can be used to subsume this concept. The default one is one extracted by Ivan Herman         from the Musicbrainz instrument taxonomy, conforming to SKOS. This concept holds a seeAlso link          towards this taxonomy.",http://purl.org/ontology/mo/Instrument,Instrument,stable,,,,,mo:mit#,,,
Instrumentation,class,"Instrumentation deals with the techniques of writing music for a specific instrument,          including the limitations of the instrument, playing techniques and idiomatic handling of the instrument.",http://purl.org/ontology/mo/Instrumentation,instrumentation,stable,Arrangement,,arrangement_of,,,,,
Label,class,Trade name of a company that produces musical works or expression of musical works.,http://purl.org/ontology/mo/Label,label,stable,CorporateBody,lc,,,,,,
Libretto,class,Libretto,http://purl.org/ontology/mo/Libretto,libretto,stable,MusicalExpression,,published_as,,,,,
Lyrics,class,Lyrics,http://purl.org/ontology/mo/Lyrics,lyrics,stable,MusicalExpression,text,published_as,,,,,
MD,class,Mini Disc used as medium to record a musical manifestation.,http://purl.org/ontology/mo/MD,MD,unstable,Medium,,encodes,,,,,
MagneticTape,class,Magnetic analogue tape used as medium to record a musical manifestation.,http://purl.org/ontology/mo/MagneticTape,MagneticTape,unstable,Medium,,encodes,,,,,
Medium,class,A means or instrumentality for storing or communicating musical manifestation.,http://purl.org/ontology/mo/Medium,Medium,unstable,MusicalItem,,encodes,"AudioFile, CD, DAT, DCC, DVDA, ED2K, MD, MagneticTape, SACD, Stream, Torrent, Vinyl",,,,
Membership,class,"A membership event, where one or several people belongs to a group during a particular time period.",http://purl.org/ontology/mo/Membership,membership,testing,http://purl.org/NET/c4dm/event.owl#Event,"artist, group",,,,,,
Movement,class,"A movement is a self-contained part of a musical work. While individual or selected movements from a composition are sometimes performed separately, a performance of the complete work requires all the movements to be performed in succession.  Often a composer attempts to interrelate the movements thematically, or sometimes in more subtle ways, in order that the individual movements exert a cumulative effect. In some forms, composers sometimes link the movements, or ask for them to be played without a pause between them.",http://purl.org/ontology/mo/Movement,movement,unstable,MusicalWork,movement_number,"arranged_in, composed_in, iswc, movement, opus, lyrics",,,,,
MusicArtist,class,"A person or a group of people (or a computer :-) ), whose musical          creative work shows sensitivity and imagination",http://purl.org/ontology/mo/MusicArtist,music artist,stable,foaf:Agent,"activity, activity_end, activity_start, biography, compiled, discography, djmixed, fanpage, origin, ipi, remixed, sampled, supporting_musician",,"MusicGroup, SoloMusicArtist",,,,
MusicGroup,class,"Group of musicians, or musical ensemble, usually popular or folk, playing parts of or improvising off of a musical arrangement.",http://purl.org/ontology/mo/MusicGroup,music group,stable,"foaf:Group, MusicArtist",member,"activity, activity_end, activity_start, biography, compiled, discography, djmixed, fanpage, origin, ipi, remixed, sampled, supporting_musician",,,,,
MusicalExpression,class,"The intellectual or artistic realization of a work in the form of alpha-numeric, musical, or choreographic notation, sound, etc., or any combination of such forms.       For example:  Work #1 Franz Schubert's Trout quintet      * Expression #1 the composer's score     * Expression #2 sound issued from the performance by the Amadeus Quartet and Hephzibah Menuhin on piano     * Expression #3 sound issued from the performance by the Cleveland Quartet and Yo-Yo Ma on the cello     * . . . .   The Music Ontology defines the following sub-concepts of a MusicalExpression, which should be used instead of MusicalExpression itself: Score (the result of an arrangement), Sound (produced during a performance), Signal. However, it is possible to stick to FRBR and bypass the worflow mechanism this ontology defines by using the core FRBR properties on such objects. But it is often better to use events to interconnect such  expressions (allowing to go deeply into the production process - `this performer was playing this particular instrument at that particular time').",http://purl.org/ontology/mo/MusicalExpression,musical expression,unstable,http://purl.org/vocab/frbr/core#Expression,published_as,,"Libretto, Lyrics, Score, Signal, SignalGroup, Sound",,Expression,,
MusicalItem,class,"A single exemplar of a musical expression.      For example, it could be a single exemplar of a CD. This is normally an single object (a CD) possessed by somebody.  From the FRBR final report: The entity defined as item is a concrete entity. It is in many instances a single physical object (e.g., a copy of a one-volume monograph, a single audio cassette, etc.). There are instances, however, where the entity defined as item comprises more than one physical object (e.g., a monograph issued as two separately bound volumes, a recording issued on three separate compact discs, etc.).  In terms of intellectual content and physical form, an item exemplifying a manifestation is normally the same as the manifestation itself. However, variations may occur from one item to another, even when the items exemplify the same manifestation, where those variations are the result of actions external to the intent of the producer of the manifestation (e.g., damage occurring after the item was produced, binding performed by a library, etc.).",http://purl.org/ontology/mo/MusicalItem,MusicalItem,unstable,,encodes,,Medium,,,,
MusicalManifestation,class,"This entity is related to the edition/production/publication of a musical expression (musical manifestation are closely related with the music industry (their terms, concepts, definitions, methods (production, publication, etc.), etc.)      From the FRBR final report: The entity defined as manifestation encompasses a wide range of materials, including manuscripts, books, periodicals, maps, posters, sound recordings, films, video recordings, CD-ROMs, multimedia kits, etc. As an entity, manifestation represents all the physical objects that bear the same characteristics, in respect to both intellectual content and physical form.   Work #1 J. S. Bach's Six suites for unaccompanied cello      * Expression #1 sound issued during the performance by Janos Starker recorded in 1963 and 1965           o Manifestation #1 recordings released on 33 1/3 rpm sound discs in 1965 by Mercury           o Manifestation #2 recordings re-released on compact disc in 1991 by Mercury      * Expression #2 sound issued during the performances by Yo-Yo Ma recorded in 1983           o Manifestation #1 recordings released on 33 1/3 rpm sound discs in 1983 by CBS Records           o Manifestation #2 recordings re-released on compact disc in 1992 by CBS Records              Changes that occur deliberately or even inadvertently in the production process that affect the copies result, strictly speaking, in a new manifestation. A manifestation resulting from such a change may be identified as a particular ""state"" or ""issue"" of the publication.  Changes that occur to an individual copy after the production process is complete (e.g., the loss of a page, rebinding, etc.) are not considered to result in a new manifestation. That copy is simply considered to be an exemplar (or item) of the manifestation that deviates from the copy as produced.  With the entity defined as manifestation we can describe the physical characteristics of a set of items and the characteristics associated with the production and distribution of that set of items that may be important factors in enabling users to choose a manifestation appropriate to their physical needs and constraints, and to identify and acquire a copy of that manifestation.  Defining manifestation as an entity also enables us to draw relationships between specific manifestations of a work. We can use the relationships between manifestations to identify, for example, the specific publication that was used to create a microreproduction.",http://purl.org/ontology/mo/MusicalManifestation,musical manifestation,stable,http://purl.org/vocab/frbr/core#Manifestation,"available_as, compilation_of, compiler, item, media_type, other_release_of, preview, producer, publication_of, publisher, publishing_location, release_status, release_type, tribute_to",,"PublishedLibretto, PublishedLyrics, PublishedScore, Record, Release, Track",,Manifestation,,
MusicalWork,class,"Distinct intellectual or artistic musical creation.      From the FRBR final report: A work is an abstract entity; there is no single material object one can point to as the work. We recognize the work through individual realizations or expressions of the work, but the work itself exists only in the commonality of content between and among the various expressions of the work. When we speak of Homer's Iliad as a work, our point of reference is not a particular recitation or text of the work, but the intellectual creation that lies behind all the various expressions of the work.       For example:  work #1 J. S. Bach's The art of the fugue",http://purl.org/ontology/mo/MusicalWork,musical work,stable,http://purl.org/vocab/frbr/core#Work,"arranged_in, composed_in, iswc, movement, opus, lyrics",,Movement,,Work,,
Orchestration,class,"Orchestration includes, in addition to instrumentation, the handling of groups of instruments and their balance and interaction.",http://purl.org/ontology/mo/Orchestration,orchestration,stable,Arrangement,,arrangement_of,,,,,
Performance,class,"A performance event.          It might include as agents performers, engineers, conductors, or even listeners.         It might include as factors a score, a MusicalWork, musical instruments.          It might produce a sound:-)",http://purl.org/ontology/mo/Performance,performance,stable,http://purl.org/NET/c4dm/event.owl#Event,"conductor, instrument, listener, performance_of, performer, produced_sound, recorded_as, singer",,,,,,
PublishedLibretto,class,A published libretto,http://purl.org/ontology/mo/PublishedLibretto,published libretto,stable,MusicalManifestation,,"available_as, compilation_of, compiler, item, media_type, other_release_of, preview, producer, publication_of, publisher, publishing_location, release_status, release_type, tribute_to",,,,,
PublishedLyrics,class,"Published lyrics, as a book or as a text file, for example",http://purl.org/ontology/mo/PublishedLyrics,published lyrics,stable,MusicalManifestation,,"available_as, compilation_of, compiler, item, media_type, other_release_of, preview, producer, publication_of, publisher, publishing_location, release_status, release_type, tribute_to",,,,,
PublishedScore,class,A published score (subclass of MusicalManifestation),http://purl.org/ontology/mo/PublishedScore,published score,stable,MusicalManifestation,,"available_as, compilation_of, compiler, item, media_type, other_release_of, preview, producer, publication_of, publisher, publishing_location, release_status, release_type, tribute_to",,,,,
Record,class,A published record (manifestation which first aim is to render the product of a recording),http://purl.org/ontology/mo/Record,record,stable,MusicalManifestation,"record_number, track, track_count","available_as, compilation_of, compiler, item, media_type, other_release_of, preview, producer, publication_of, publisher, publishing_location, release_status, release_type, tribute_to",,,,,
Recording,class,"A recording event.         Takes a sound as a factor to produce a signal (analog or digital).         The location of such events (if any) is the actual location of the corresponding         microphone or the ""recording device"".",http://purl.org/ontology/mo/Recording,recording,stable,http://purl.org/NET/c4dm/event.owl#Event,"produced_signal, recording_of",,,,,,
RecordingSession,class,A set of performances/recordings/mastering events. This event can be decomposed in its constituent events using event:sub_event,http://purl.org/ontology/mo/RecordingSession,recording session,testing,http://purl.org/NET/c4dm/event.owl#Event,produced_signal_group,,,,,,
Release,class,"A specific release, with barcode, box, liner notes, cover art, and a number of records",http://purl.org/ontology/mo/Release,release,testing,MusicalManifestation,"catalogue_number, ean, grid, gtin, record, record_count, upc","available_as, compilation_of, compiler, item, media_type, other_release_of, preview, producer, publication_of, publisher, publishing_location, release_status, release_type, tribute_to",,,,,
ReleaseEvent,class,"A release event, in a particular place (e.g. a country) at a particular time. Other factors of this event might include cover art, liner notes, box, etc. or a release grouping all these.",http://purl.org/ontology/mo/ReleaseEvent,release event,testing,http://purl.org/NET/c4dm/event.owl#Event,release,,,,,,
ReleaseStatus,class,Musical manifestation release status.,http://purl.org/ontology/mo/ReleaseStatus,release status,stable,,,,,,,,
ReleaseType,class,"Release type of a particular manifestation, such as ""album"" or ""interview""...",http://purl.org/ontology/mo/ReleaseType,Release type,stable,,,,,,,,
SACD,class,Super Audio Compact Disc used as medium to record a musical manifestation.,http://purl.org/ontology/mo/SACD,SACD,unstable,Medium,,encodes,,,,,
Score,class,"Here, we are dealing with the informational object (the MusicalExpression), not the actually ""published"" score.         This may be, for example, the product of an arrangement process.",http://purl.org/ontology/mo/Score,score,stable,MusicalExpression,,published_as,,,,,
Show,class,"A show - a musical event lasting several days, in a particular venue. Examples can be         ""The Magic Flute"" at the Opera Bastille, August 2005, or a musical in the west end...",http://purl.org/ontology/mo/Show,Show,stable,http://purl.org/NET/c4dm/event.owl#Event,,,,,,,
Signal,class,"A subclass of MusicalExpression, representing a signal, for example a master signal produced by a performance and a recording.",http://purl.org/ontology/mo/Signal,signal,stable,MusicalExpression,"channels, derived_from, djmixed_by, interpreter, isrc, puid, records, time, trmid",published_as,"AnalogSignal, DigitalSignal",,,,
SignalGroup,class,"A musical expression representing a group of signals, for example a set of masters resulting from a whole recording/mastering session.",http://purl.org/ontology/mo/SignalGroup,signal group,testing,MusicalExpression,signal,published_as,,,,,
SoloMusicArtist,class,Single person whose musical creative work shows sensitivity and imagination.,http://purl.org/ontology/mo/SoloMusicArtist,solo music artist,stable,"foaf:Person, MusicArtist",,"activity, activity_end, activity_start, biography, compiled, discography, djmixed, fanpage, origin, ipi, remixed, sampled, supporting_musician",,,,,
Sound,class,"A subclass of MusicalExpression, representing a sound. Realisation of a MusicalWork during a musical Performance.",http://purl.org/ontology/mo/Sound,sound,stable,"http://purl.org/NET/c4dm/event.owl#Event, MusicalExpression",recorded_in,published_as,,,,,
Stream,class,Transmission over a network  used as medium to broadcast a musical manifestation,http://purl.org/ontology/mo/Stream,Stream,unstable,Medium,,encodes,,,,,
Torrent,class,Something available on the Bittorrent peer-2-peer filesharing network,http://purl.org/ontology/mo/Torrent,Torrent,unstable,Medium,,encodes,,,,,
Track,class,A track on a particular record,http://purl.org/ontology/mo/Track,track,stable,MusicalManifestation,"olga, record_side, track_number","available_as, compilation_of, compiler, item, media_type, other_release_of, preview, producer, publication_of, publisher, publishing_location, release_status, release_type, tribute_to",,,,,
Transcription,class,Transcription event,http://purl.org/ontology/mo/Transcription,transcription,testing,http://purl.org/NET/c4dm/event.owl#Event,,,,,,,
Vinyl,class,Vinyl used as medium to record a musical manifestation,http://purl.org/ontology/mo/Vinyl,Vinyl,unstable,Medium,,encodes,,,,,
activity,property,Relates an artist to an activity period,http://purl.org/ontology/mo/activity,activity,testing,,,,,,,Activity,MusicArtist
activity_end,property,Relates an artist to a date at which its activity ended,http://purl.org/ontology/mo/activity_end,activity end,testing,,,,,,,xsd:date,MusicArtist
activity_start,property,Relates an artist to a date at which its activity started,http://purl.org/ontology/mo/activity_start,activity start,testing,,,,,,,xsd:date,MusicArtist
amazon_asin,property,Used to link a work or the expression of a work to its corresponding Amazon ASINs page.,http://purl.org/ontology/mo/amazon_asin,amazon_asin,stable,,,,,,,foaf:Document,genid10
arranged_in,property,Associates a work to an arrangement event where it was arranged,http://purl.org/ontology/mo/arranged_in,arranged in,unstable,,,,,,,Arrangement,MusicalWork
arrangement_of,property,Associates an arrangement event to a work,http://purl.org/ontology/mo/arrangement_of,arrangement of,unstable,,,,,,,MusicalWork,Arrangement
artist,property,Relates a membership event with the corresponding artist,http://purl.org/ontology/mo/artist,artist,testing,,,,,,,foaf:Agent,Membership
available_as,property,"Relates a musical manifestation to a musical item (this album, and my particular cd). By using         this property, there is no assumption on wether the full content is available on the linked item.         To be explicit about this, you can use a sub-property, such as mo:item (the full manifestation         is available on that item) or mo:preview (only a part of the manifestation is available on         that item).          This is a subproperty of frbr:examplar.",http://purl.org/ontology/mo/available_as,,stable,,,,,,,MusicalItem,MusicalManifestation
biography,property,Used to link an artist to their online biography.,http://purl.org/ontology/mo/biography,biography,stable,,,,,,,foaf:Document,MusicArtist
bitsPerSample,property,Associates a digital signal to the number a bits used to encode one sample. Range is xsd:int.,http://purl.org/ontology/mo/bitsPerSample,,stable,,,,,,,xsd:int,DigitalSignal
bpm,property,Indicates the BPM of a MusicalWork or a particular Performance          Beats per minute: the pace of music measured by the number of beats occurring in 60 seconds.,http://purl.org/ontology/mo/bpm,bpm,stable,,,,,,,xsd:float,genid15
catalogue_number,property,Links a release with the corresponding catalogue number,http://purl.org/ontology/mo/catalogue_number,catalogue number,testing,,,,,,,xsd:string,Release
channels,property,"Associates a signal to the number of channels it holds (mono --> 1, stereo --> 2). Range is xsd:int.",http://purl.org/ontology/mo/channels,,stable,,,,,,,xsd:int,Signal
collaborated_with,property,Used to relate two collaborating people on a work.,http://purl.org/ontology/mo/collaborated_with,collaborated_with,unstable,,,,,,,foaf:Agent,foaf:Agent
compilation_of,property,Indicates that a musical manifestation is a compilation of several Signals.,http://purl.org/ontology/mo/compilation_of,compilation_of,unstable,,,,,,,Signal,MusicalManifestation
compiled,property,Used to relate an person or a group of person who compiled the manifestation of a musical work.,http://purl.org/ontology/mo/compiled,compiled,unstable,,,,,,,MusicalManifestation,MusicArtist
compiler,property,Used to relate the manifestation of a musical work to a person or a group of person who compiled it.,http://purl.org/ontology/mo/compiler,compiler,unstable,,,,,,,MusicArtist,MusicalManifestation
composed_in,property,"Associates a MusicalWork to the Composition event pertaining         to its creation. For example, I might use this property to associate         the Magic Flute to its composition event, occuring during 1782 and having as         a mo:composer Mozart.",http://purl.org/ontology/mo/composed_in,composed in,unstable,,,,,,,Composition,MusicalWork
composer,property,"Associates a composition event to the actual composer. For example,         this property could link the event corresponding to the composition of the         Magic Flute in 1782 to Mozart himself (who obviously has a FOAF profile:-) ).",http://purl.org/ontology/mo/composer,composer,stable,,,,,,,foaf:Agent,Composition
conducted,property,Relates agents to the performances they were conducting,http://purl.org/ontology/mo/conducted,conducted,unstable,,,,,,,Performance,foaf:Agent
conductor,property,Relates a performance to the conductor involved,http://purl.org/ontology/mo/conductor,,stable,,,,,,,foaf:Agent,Performance
contains_sample_from,property,"Relates a signal to another signal, which has been sampled.",http://purl.org/ontology/mo/contains_sample_from,contains_sample_from,unstable,,,,,,,,
derived_from,property,A related signal from which the described signal is derived.,http://purl.org/ontology/mo/derived_from,derived from,testing,,,,,,,Signal,Signal
discography,property,Used to links an artist to an online discography of their musical works. The discography should provide a summary of each released musical work of the artist.,http://purl.org/ontology/mo/discography,discography,stable,,,,,,,foaf:Document,MusicArtist
discogs,property,"Used to link a musical work or the expression of a musical work, an artist or a corporate body to to its corresponding Discogs page.",http://purl.org/ontology/mo/discogs,discogs,stable,,,,,,,foaf:Document,genid19
djmix_of,property,"Indicates that all (or most of) the tracks of a musical work or the expression of a musical work were mixed together from all (or most of) the tracks from another musical work or the expression of a musical work to form a so called DJ-Mix.       The tracks might have been altered by pitching (so that the tempo of one track matches the tempo of the following track) and fading (so that one track blends in smoothly with the other). If the tracks have been more substantially altered, the ""mo:remix"" relationship type is more appropriate.",http://purl.org/ontology/mo/djmix_of,djmix_of,unstable,,,,,,,,
djmixed,property,"Used to relate an artist who djmixed a musical work or the expression of a musical work.       The artist usually selected the tracks, chose their sequence, and slightly changed them by fading (so that one track blends in smoothly with the other) or pitching (so that the tempo of one track matches the tempo of the following track). This applies to a 'Mixtape' in which all tracks were DJ-mixed together into one single long track.",http://purl.org/ontology/mo/djmixed,djmixed,unstable,,,,,,,Signal,MusicArtist
djmixed_by,property,"Used to relate a work or the expression of a work to an artist who djmixed it.       The artist usually selected the tracks, chose their sequence, and slightly changed them by fading (so that one track blends in smoothly with the other) or pitching (so that the tempo of one track matches the tempo of the following track). This applies to a 'Mixtape' in which all tracks were DJ-mixed together into one single long track.",http://purl.org/ontology/mo/djmixed_by,djmixed_by,unstable,,,,,,,MusicArtist,Signal
download,property,"This property can be used to link from a person to the website where they make their works available, or from                 a manifestation (a track or an album, for example) to a web page where it is available for                 download.                  It is better to use one of the three sub-properties instead of this one in order to specify wether the         content can be accessed for free (mo:freedownload), if it is just free preview material (mo:previewdownload), or         if it can be accessed for some money (mo:paiddownload) (this includes links to the Amazon store, for example).                  This property MUST be used only if the content is just available through a web page (holding, for example                 a Flash application) - it is better to link to actual content directly through the use of mo:available_as and                 mo:Stream, mo:Torrent or mo:ED2K, etc. Therefore, Semantic Web user agents that don't know how to read HTML and even                 less to rip streams from Flash applications can still access the audio content.",http://purl.org/ontology/mo/download,download,stable,,,,,,,foaf:Document,genid25
ean,property,"The European Article Number (EAN) is a universal identifier for products, commonly printed in form of barcodes on them. The numbers represented by those codes can either be 8 or 13 digits long, with the 13-digit-version being most common. EANs form a superset of the North American Universal Product Code (UPC) as every UPC can be made an EAN by adding a leading zero to it. Additionally every EAN is also a Japanese Article Number (JAN). The identifiers were formerly assigned by EAN International which merged with Uniform Code Council (UCC, the guys behind the UPCs) and Electronic Commerce Council of Canada (ECCC) to become GS1.",http://purl.org/ontology/mo/ean,ean,testing,,,,,,,xsd:string,Release
encodes,property,"Relates a MusicalItem (a track on a particular CD, an audio file, a stream somewhere) to the signal it encodes.          This is usually a lower-resolution version of the master signal (issued from a Recording event).",http://purl.org/ontology/mo/encodes,encodes,unstable,,,,,,,Signal,MusicalItem
encoding,property,"Method used to convert analog electronic signals into digital format such as ""MP3 CBR @ 128kbps"", ""OGG @ 160kbps"", ""FLAC"", etc.",http://purl.org/ontology/mo/encoding,encoding,unstable,,,,,,,rdfs:Literal,AudioFile
duration,property,The duration of a track or a signal in ms,http://purl.org/ontology/mo/duration,,testing,,,,,,,xsd:float,genid29
engineer,property,Relates a performance or a recording to the engineer involved,http://purl.org/ontology/mo/engineer,,stable,,,,,,,foaf:Agent,genid32
engineered,property,Relates agents to the performances/recordings they were engineering in,http://purl.org/ontology/mo/engineered,engineered,unstable,,,,,,,genid36,foaf:Agent
event_homepage,property,Links a particular event to a web page,http://purl.org/ontology/mo/event_homepage,event homepage,stable,,,,,,,foaf:Document,http://purl.org/NET/c4dm/event.owl#Event
exchange_item,property,"A person, a group of person or an organization exchanging an exemplar of a single manifestation.",http://purl.org/ontology/mo/exchange_item,exchange_item,stable,,,,,,,http://purl.org/vocab/frbr/core#Item,foaf:Agent
fanpage,property,Used to link an artist to a fan-created webpage devoted to that artist.,http://purl.org/ontology/mo/fanpage,fanpage,stable,,,,,,,foaf:Document,MusicArtist
free_download,property,"This property can be used to link from a person to the website where they make their works available, or from         a manifestation (a track or an album, for example) to a web page where it is available for free          download.          This property MUST be used only if the content is just available through a web page (holding, for example         a Flash application) - it is better to link to actual content directly through the use of mo:available_as and          mo:Stream, mo:Torrent or mo:ED2K, etc. Therefore, Semantic Web user agents that don't know how to read HTML and even         less to rip streams from Flash applications can still access the audio content.",http://purl.org/ontology/mo/free_download,free download,stable,,,,,,,foaf:Document,genid40
freedownload,property,,http://purl.org/ontology/mo/freedownload,,deprecated,,,,,,,,
genre,property,Associates an event (like a performance or a recording) to a particular musical genre.         Further version of this property may also include works and scores in the domain.,http://purl.org/ontology/mo/genre,genre,stable,,,,,,,Genre,genid44
grid,property,"The Global Release Identifier (GRid) is a system for uniquely identifying Releases of music over electronic networks (that is, online stores where you can buy music as digital files). As that it can be seen as the equivalent of the BarCode (or more correctly the GTIN) as found on physical releases of music. Like the ISRC (a code for identifying single recordings as found on releases) it was developed by the IFPI but it does not appear to be a standard of the ISO.",http://purl.org/ontology/mo/grid,GRid,testing,,,,,,,xsd:string,Release
group,property,Relates a membership event with the corresponding group,http://purl.org/ontology/mo/group,group,testing,,,,,,,foaf:Group,Membership
origin,property,Relates an artist to its geographic origin,http://purl.org/ontology/mo/origin,origin,testing,,,,,,,geo:SpatialThing,MusicArtist
gtin,property,GTIN is a grouping term for EANs and UPCs. In common speech those are called barcodes although the barcodes are just a representation of those identifying numbers.,http://purl.org/ontology/mo/gtin,gtin,testing,,,,,,,xsd:string,Release
has_track,property,,http://purl.org/ontology/mo/has_track,,deprecated,,,,,,,,
headliner,property,Relates a performance to the headliner(s) involved,http://purl.org/ontology/mo/headliner,headliner,testing,,,,,,,,
homepage,property,"Links an artist, a record, etc. to a corresponding web page",http://purl.org/ontology/mo/homepage,homepage,stable,,,,,,,foaf:Document,genid55
image,property,"Indicates a pictorial image (JPEG, GIF, PNG, Etc.) of a musical work, the expression of a musical work, the manifestation of a work or the examplar of a manifestation.",http://purl.org/ontology/mo/image,image,stable,,,,,,,foaf:Image,genid61
imdb,property,"Used to link an artist, a musical work or the expression of a musical work to their equivalent page on IMDb, the InternetMovieDatabase.",http://purl.org/ontology/mo/imdb,imdb,stable,,,,,,,foaf:Document,genid67
instrument,property,Relates a performance to a musical instrument involved,http://purl.org/ontology/mo/instrument,,stable,,,,,,,Instrument,Performance
interpreter,property,"Adds an involved music artist, who interpreted, remixed, or otherwise modified an existing signal, which resulted in the signal that is here the subject of this relation.",http://purl.org/ontology/mo/interpreter,has interpeter,testing,,,,,,,MusicArtist,Signal
ipi,property,The Interested Parties Information Code (IPI) is an ISO standard similar to ISBNs for identifying the people or groups with some involvement with a particular musical work / compositions.,http://purl.org/ontology/mo/ipi,ipi,testing,,,,,,,xsd:string,MusicArtist
ismn,property,The International Standard Music Number (ISMN) is an ISO standard similar to ISBNs for identifying printed music publications,http://purl.org/ontology/mo/ismn,ismn,testing,,,,,,,xsd:string,genid73
isrc,property,The ISRC (International Standard Recording Code) is the international identification system for sound recordings and music videorecordings.      Each ISRC is a unique and permanent identifier for a specific recording which can be permanently encoded into a product as its digital fingerprint.      Encoded ISRC provide the means to automatically identify recordings for royalty payments.,http://purl.org/ontology/mo/isrc,isrc,stable,,,,,,,xsd:string,Signal
iswc,property,Links a musical work to the corresponding ISWC number,http://purl.org/ontology/mo/iswc,iswc,testing,,,,,,,xsd:string,MusicalWork
item,property,"Relates a musical manifestation to a musical item (this album, and my particular cd) holding the                 entire manifestation, and not just a part of it.",http://purl.org/ontology/mo/item,,testing,,,,,,,MusicalItem,MusicalManifestation
key,property,"Indicated the key used by the musicians during a performance, or the key of a MusicalWork.         Any of 24 major or minor diatonic scales that provide the tonal framework for a piece of music.",http://purl.org/ontology/mo/key,key,stable,,,,,,,http://purl.org/NET/c4dm/keys.owl#Key,genid77
label,property,Associates a release event with the label releasing the record,http://purl.org/ontology/mo/label,label,testing,,,,,,,Label,genid81
lc,property,"The Label Code (LC) was introduced in 1977 by the IFPI (International Federation of Phonogram and Videogram Industries) in order to unmistakably identify the different record labels (see Introduction, Record labels) for rights purposes. The Label Code consists historically of 4 figures, presently being extended to 5 figures, preceded by LC and a dash (e.g. LC-0193 = Electrola; LC-0233 = His Master's Voice). Note that the number of countries using the LC is limited, and that the code given on the item is not always accurate.",http://purl.org/ontology/mo/lc,lc,testing,,,,,,,xsd:string,Label
licence,property,"Used to link a work or the expression of a work to the license under which they can be manipulated (downloaded, modified, etc).       This is usually used to link to a Creative Commons licence.",http://purl.org/ontology/mo/licence,licence,stable,,,,,,,http://web.resource.org/cc/License,genid84
listened,property,Relates agents to the performances they were listening in,http://purl.org/ontology/mo/listened,listened,unstable,,,,,,,Performance,foaf:Agent
listener,property,Relates a performance to the listener involved,http://purl.org/ontology/mo/listener,,stable,,,,,,,foaf:Agent,Performance
