,Element,description,URI,Label,Status,ParentClass,Properties,InheritedProperties,Subclasses,SeeAlso,FRBRElement,Range,Domain
Activity,class,"An activity period, defining when an artist was musically active.",http://purl.org/ontology/mo/Activity,activity,testing,http://purl.org/NET/c4dm/event.owl#Event,,,,,,,
AnalogSignal,class,An analog signal.,http://purl.org/ontology/mo/AnalogSignal,analogue signal,stable,Signal,sampled_version,"channels, derived_from, djmixed_by, interpreter, isrc, puid, records, time, trmid, published_as",,,,,
Arrangement,class,"An arrangement event.         Takes as agent the arranger, and produces a score (informational object, not the actually published score).",http://purl.org/ontology/mo/Arrangement,arrangement,stable,http://purl.org/NET/c4dm/event.owl#Event,arrangement_of,,"Instrumentation, Orchestration",,,,
AudioFile,class,"An audio file, which may be available on a local file system or through http, ftp, etc.",http://purl.org/ontology/mo/AudioFile,audio file,unstable,"Medium, foaf:Document",encoding,encodes,,,,,
CD,class,Compact Disc used as medium to record a musical manifestation.,http://purl.org/ontology/mo/CD,CD,unstable,Medium,,encodes,,,,,
Composition,class,"A composition event.         Takes as agent the composer himself.         It produces a MusicalWork, or a MusicalExpression (when the initial ""product"" is a score, for example), or both...",http://purl.org/ontology/mo/Composition,composition,stable,http://purl.org/NET/c4dm/event.owl#Event,"composer, produced_work",,,,,,
CorporateBody,class,Organization or group of individuals and/or other organizations involved in the music market.,http://purl.org/ontology/mo/CorporateBody,corporate body,stable,foaf:Organization,,,Label,,,,
DAT,class,Digital Audio Tape used as medium to record a musical manifestation.,http://purl.org/ontology/mo/DAT,DAT,unstable,Medium,,encodes,,,,,
DCC,class,Digital Compact Cassette used as medium to record a musical manifestation.,http://purl.org/ontology/mo/DCC,DCC,unstable,Medium,,encodes,,,,,
DVDA,class,DVD-Audio used as medium to record a musical manifestation.,http://purl.org/ontology/mo/DVDA,DVDA,unstable,Medium,,encodes,,,,,
DigitalSignal,class,A digital signal,http://purl.org/ontology/mo/DigitalSignal,digital signal,stable,Signal,"bitsPerSample, sample_rate, sampled_version_of","channels, derived_from, djmixed_by, interpreter, isrc, puid, records, time, trmid, published_as",,,,,
ED2K,class,Something available on the E-Donkey peer-2-peer filesharing network,http://purl.org/ontology/mo/ED2K,ED2K,unstable,Medium,,encodes,,,,,
Festival,class,"A festival - musical/artistic event lasting several days, like Glastonbury, Rock Am Ring...         We migth decompose this event (which is in fact just a classification of the space/time region related to          a particular festival) using hasSubEvent in several performances at different space/time.",http://purl.org/ontology/mo/Festival,Festival,stable,http://purl.org/NET/c4dm/event.owl#Event,,,,,,,
Genre,class,"An expressive style of music.                  Any taxonomy can be plug-in here. You can either define a genre by yourself, like this:          :mygenre a mo:Genre; dc:title ""electro rock"".          Or you can refer to a DBPedia genre (such as http://dbpedia.org/resource/Baroque_music), allowing semantic web         clients to access easily really detailed structured information about the genre you are refering to.",http://purl.org/ontology/mo/Genre,Genre,stable,,,,,,,,
