,Element,URI,Description,Label,EquivalentClass,Domain,InverseOf,ParentProperty
U53i is duration of,property,http://data.doremus.org/ontology#U53i_is_duration_of,,U53i is duration of@en,,,,
U54 is performed expression of,property,http://data.doremus.org/ontology#U54_is_performed_expression_of,,,,,mus:U54i_has_performed_expression,
U54i has performed expression,property,http://data.doremus.org/ontology#U54i_has_performed_expression,,U54i has performed expression@en,,,,
U55 incorporates performed expression,property,http://data.doremus.org/ontology#U55_incorporates_performed_expression,,,,,mus:U55i_performed_expression_is_incorporated_in,
U55i performed expression is incorporated in,property,http://data.doremus.org/ontology#U55i_performed_expression_is_incorporated_in,,U55i performed expression is incorporated in@en,,,,
U56 occurred in historical context,property,http://data.doremus.org/ontology#U56_occurred_in_historical_context,,,,,mus:U56i_was_historical_context_of,
U56i was historical context of,property,http://data.doremus.org/ontology#U56i_was_historical_context_of,,U56i was historical context of@en,,,,
U57 occurred in religious context,property,http://data.doremus.org/ontology#U57_occurred_in_religious_context,,,,,mus:U57i_was_religious_context_of,
U57i was religious context of,property,http://data.doremus.org/ontology#U57i_was_religious_context_of,,U57i was religious context of@en,,,,
U58 has full published recording,property,http://data.doremus.org/ontology#U58_has_full_published_recording,,,,,mus:U58i_is_full_published_recording_of,
U58i is full published recording of,property,http://data.doremus.org/ontology#U58i_is_full_published_recording_of,,U58i is full published recording of@en,,,,
U59 has partial published recording,property,http://data.doremus.org/ontology#U59_has_partial_published_recording,,,,,mus:U59i_is_partial_published_recording_of,
U59i is partial published recording of,property,http://data.doremus.org/ontology#U59i_is_partial_published_recording_of,,U59i is partial published recording of@en,,,,
U60 occurred in cultural context,property,http://data.doremus.org/ontology#U60_occurred_in_cultural_context,,,,,mus:U60i_was_cultural_context_of,
U60i was cultural context of,property,http://data.doremus.org/ontology#U60i_was_cultural_context_of,,U60i was cultural context of@en,,,,
U61 occurred in geographical context,property,http://data.doremus.org/ontology#U61_occurred_in_geographical_context,,,,,mus:U61i_was_geographical_context_of,
U61i was geographical context of,property,http://data.doremus.org/ontology#U61i_was_geographical_context_of,,U61i was geographical context of@en,,,,
U62 has form,property,http://data.doremus.org/ontology#U62_has_form,,,,,mus:U62i_is_form_of,
U62i is form of,property,http://data.doremus.org/ontology#U62i_is_form_of,,U62i is form of@en,,,,
U63 has religious context,property,http://data.doremus.org/ontology#U63_has_religious_context,,,,,mus:U63i_is_religious_context_of,
U63i is religious context of,property,http://data.doremus.org/ontology#U63i_is_religious_context_of,,U63i is religious context of@en,,,,
U64 has cultural context,property,http://data.doremus.org/ontology#U64_has_cultural_context,,,,,mus:U64i_is_cultural_context_of,
U64i is cultural context of,property,http://data.doremus.org/ontology#U64i_is_cultural_context_of,,U64i is cultural context of@en,,,,
U65 has geographical context,property,http://data.doremus.org/ontology#U65_has_geographical_context,,,,,mus:U65i_is_geographical_context_of,
U65i is geographical context of,property,http://data.doremus.org/ontology#U65i_is_geographical_context_of,,U65i is geographical context of@en,,,,
U66 has historical context,property,http://data.doremus.org/ontology#U66_has_historical_context,,,,,mus:U66i_is_historical_context_of,
U66i is historical context of,property,http://data.doremus.org/ontology#U66i_is_historical_context_of,,U66i is historical context of@en,,,,
U67 has subtitle,property,http://data.doremus.org/ontology#U67_has_subtitle,,,,ecrm:E71_Man-Made_Thing,,
U68 has variant title,property,http://data.doremus.org/ontology#U68_has_variant_title,,,,ecrm:E71_Man-Made_Thing,,
U69 has WoO number,property,http://data.doremus.org/ontology#U69_has_WoO_number,,,,mus:M2_Opus_Statement,,
U70 has original title,property,http://data.doremus.org/ontology#U70_has_original_title,,,,ecrm:E89_Propositional_Object,,
U71 has uniform title,property,http://data.doremus.org/ontology#U71_has_uniform_title,,,,ecrm:E89_Propositional_Object,,
U72 has title note,property,http://data.doremus.org/ontology#U72_has_title_note,,,,ecrm:E89_Propositional_Object,,
U73 is derivative of,property,http://data.doremus.org/ontology#U73_is_derivative_of,,,,,mus:U73i_has_derivative,
U73i has derivative,property,http://data.doremus.org/ontology#U73i_has_derivative,,U73i has derivative@en,,,,
U74 cited,property,http://data.doremus.org/ontology#U74_cited,,,,,mus:U74i_was_cited_by,
U74i was cited by,property,http://data.doremus.org/ontology#U74i_was_cited_by,,U74i was cited by@en,,,,
U75 has harmonic structure,property,http://data.doremus.org/ontology#U75_has_harmonic_structure,,,,,mus:U75i_is_harmonic_structure_of,
U75i is harmonic structure of,property,http://data.doremus.org/ontology#U75i_is_harmonic_structure_of,,U75i is harmonic structure of@en,,,,
U76 has WoO subnumber,property,http://data.doremus.org/ontology#U76_has_WoO_subnumber,,,,mus:M2_Opus_Statement,,
U77 foresees performing plan,property,http://data.doremus.org/ontology#U77_foresees_performing_plan,,,,,mus:U77i_is_foreseen_plan_in,
U77i is foreseen plan in,property,http://data.doremus.org/ontology#U77i_is_foreseen_plan_in,,U77i is foreseen plan in@en,,,,
U78 estimated duration,property,http://data.doremus.org/ontology#U78_estimated_duration,"La durée éditeur n'est pas ""mesurée"" mais ""estimée""@fr",,,,,
U79 has lowest pitch,property,http://data.doremus.org/ontology#U79_has_lowest_pitch,,,,mus:M30_Ambitus,,
U80 has highest pitch,property,http://data.doremus.org/ontology#U80_has_highest_pitch,,,,mus:M30_Ambitus,,
U81 had performer status,property,http://data.doremus.org/ontology#U81_had_performer_status,,,,,mus:U81i_is_performer_status_of,
U81i is performer status of,property,http://data.doremus.org/ontology#U81i_is_performer_status_of,,U81i is performer status of@en,,,,
U82 has foreseen performer status,property,http://data.doremus.org/ontology#U82_has_foreseen_performer_status,,,,,mus:U82i_is_foreseen_performer_status_of,
U82i is foreseen performer status of,property,http://data.doremus.org/ontology#U82i_is_foreseen_performer_status_of,,U82i is foreseen performer status of@en,,,,
U83 has relative key,property,http://data.doremus.org/ontology#U83_has_relative_key,"see also http://en.wikipedia.org/wiki/Relative_keyScope Note: This class allows to connect two M4 Keys that are in a relative relationship, i.e. one is the relative major or minor of the other one.@enExamples: the key of 'C major' has 'A minor' as relative key@enExemples: la clé de 'Do majeur' a 'La mineur' pour tonalité relative@frScope Note: Cette classe permet de connecter deux M4 Tonalité qui sont en relation par rapport à l'armure, c'est-à-dire l'une est la relatif majeur ou mineur de l'autre.@fr",,,,,
U84 has parallel key,property,http://data.doremus.org/ontology#U84_has_parallel_key,"Exemples: la clé de 'Do majeur' a 'Do mineur' pour tonalité parallèle@frExamples: the key of 'C major' has 'C minor' as parallel key@ensee also http://en.wikipedia.org/wiki/Parallel_keyScope Note: Cette classe permet de connecter deux M4 Tonalité qui sont en une relation parallèle, c'est-à-dire l'une est la parallèle majeur ou mineur de l'autre.@frScope Note: This class allows to connect two M4 Keys that are in a parallel relationship, i.e. one is the parallel major or minor of the other one.@en",,,,,
U85 has closely related key,property,http://data.doremus.org/ontology#U85_has_closely_related_key,"Scope Note: Cette classe permet de connecter deux M4 Tonalité qui sont étroitement liées d'un point de vue harmonique, par ex. ceux sont des destinations ou des transpositions fréquemment utilisées dans une modulation@frExemples: la clé de 'Do majeur' a 'Sol majeur' et 'Re majeur' pour tonalités étroitement liées@frsee also http://en.wikipedia.org/wiki/Closely_related_keyExamples: the key of 'C major' has 'G major' and 'D minor' as closely related keys@enScope Note: This class allows to connect two M4 Keys that are mutually closely related from an harmonic point of view, e.g. they are commonly used destinations or transpositions in a modulation.@en",,,,,
U87 has member casting detail,property,http://data.doremus.org/ontology#U87_has_member_casting_detail,,,,,mus:U87i_is_member_casting_detail_of,
U87i is member casting detail of,property,http://data.doremus.org/ontology#U87i_is_member_casting_detail_of,,U87i is member casting detail of@en,,,,
mus:U88_has_medium_of_performance_section,property,http://data.doremus.org/ontology#U88_has_medium_of_performance_section,U88 has medium of performance section@en,,,,,
U88i is member of performance section of,property,http://data.doremus.org/ontology#U88i_is_member_of_performance_section_of,,U88i is member of performance section of@en,,,,
U89 occured in performance conditions,property,http://data.doremus.org/ontology#U89_occured_in_performance_conditions,,,,,mus:U89i_were_performance_conditions_of,
U90 foresees creation or performance mode,property,http://data.doremus.org/ontology#U90_foresees_creation_or_performance_mode,,,,,mus:U90i_were_performance_conditions_of,
U90i were performance conditions of,property,http://data.doremus.org/ontology#U90i_were_performance_conditions_of,,U90i were performance conditions of@en,,,,
U91 put into effect,property,http://data.doremus.org/ontology#U91_put_into_effect,,,,,mus:U91i_was_put_into_effect_through,
U91i was put into effect through,property,http://data.doremus.org/ontology#U91i_was_put_into_effect_through,,U91i was put into effect through@en,,,,
U92 foresees to put into effect,property,http://data.doremus.org/ontology#U92_foresees_to_put_into_effect,,,,,mus:U92_is_foreseen_to_be_put_into_effect_through,
U92 is foreseen to be put into effect  through,property,http://data.doremus.org/ontology#U92_is_foreseen_to_be_put_into_effect_through,,U92 is foreseen to be put into effect  through@en,,,,
U93 is realised in,property,http://data.doremus.org/ontology#U93_is_realised_in,,,,,mus:U93i_realises,
U93 realises,property,http://data.doremus.org/ontology#U93i_realises,,U93 realises@en,,,,
U93 has work type,property,http://data.doremus.org/ontology#U94_has_work_type,,,,,mus:U94i_is_work_type_of,
U94i is work type of,property,http://data.doremus.org/ontology#U94i_is_work_type_of,,U94i is work type of@en,,,,
U95 has hierarchical level,property,http://data.doremus.org/ontology#U95_has_hierarchical_level,,,,,mus:U95i_is_hierarchical_level_of,
U95 is hierarchical leval of,property,http://data.doremus.org/ontology#U95i_is_hierarchical_level_of,,U95 is hierarchical leval of@en,,,,
U96 foresees vocal or instrumental technique,property,http://data.doremus.org/ontology#U96_foresees_vocal_or_instrumental_technique,,,,,mus:U96i_is_foreseen_vocal_or_instrumental_technique_of,
U96i is foreseen vocal or instrumental technique of,property,http://data.doremus.org/ontology#U96i_is_foreseen_vocal_or_instrumental_technique_of,,U96i is foreseen vocal or instrumental technique of@en,,,,
U167 has title proper,property,http://data.doremus.org/ontology#U167_has_title_proper,,,,,mus:U167i_is_title_proper_of,
U167i is title proper of,property,http://data.doremus.org/ontology#U167i_is_title_proper_of,,U167i is title proper of@en,,,,
U168 has parallel title,property,http://data.doremus.org/ontology#U168_has_parallel_title,,,,,mus:U168i_is_parallel_title_of,
U168i is parallel title of,property,http://data.doremus.org/ontology#U168i_is_parallel_title_of,,U168i is parallel title of@en,,,,
U169 was issued under label name,property,http://data.doremus.org/ontology#U169_was_issued_under_label_name,,,,efrbroo:F24_Publication_Expression,,
U170 has title statement,property,http://data.doremus.org/ontology#U170_has_title_statement,,,,,mus:U170i_is_title_statement_of,
U170i is title statement of,property,http://data.doremus.org/ontology#U170i_is_title_statement_of,,U170i is title statement of@en,,,,
U171 has parallel title statement,property,http://data.doremus.org/ontology#U171_has_parallel_title_statement,,,,,mus:U171i_is_parallel_title_statement_of,
U171i is parallel title statement of,property,http://data.doremus.org/ontology#U171i_is_parallel_title_statement_of,,U171i is parallel title statement of@en,,,,
U172 has statement of responsibility relating to title,property,http://data.doremus.org/ontology#U172_has_statement_of_responsibility_relating_to_title,,,,,mus:U172i_is_statement_of_responsibility_relating_to_title_of,
U172i is statement of responsibility relating to title of,property,http://data.doremus.org/ontology#U172i_is_statement_of_responsibility_relating_to_title_of,,U172i is statement of responsibility relating to title of@en,,,,
U173 has parallel statement of responsibility relating to title,property,http://data.doremus.org/ontology#U173_has_parallel_statement_of_responsibility_relating_to_title,,,,,mus:U173i_is_parallel_statement_of_responsibility_relating_to_title_of,
U173i is parallel statement of responsibility relating to title of,property,http://data.doremus.org/ontology#U173i_is_parallel_statement_of_responsibility_relating_to_title_of,,U173i is parallel statement of responsibility relating to title of@en,,,,
U174 has cast statement,property,http://data.doremus.org/ontology#U174_has_cast_statement,,,,,mus:U174i_is_cast_statement_of,
U174i is cast statement of,property,http://data.doremus.org/ontology#U174i_is_cast_statement_of,,U174i is cast statement of@en,,,,
U175 has parallel cast statement,property,http://data.doremus.org/ontology#U175_has_parallel_cast_statement,,,,efrbroo:F22_Self-Contained_Expression,,
U175i is parallel cast statement of,property,http://data.doremus.org/ontology#U175i_is_parallel_cast_statement_of,,U175i is parallel cast statement of@en,,,,
U176 has edition statement,property,http://data.doremus.org/ontology#U176_has_edition_statement,,,,,mus:U176i_is_edition_statement_of,
U176i is edition statement of,property,http://data.doremus.org/ontology#U176i_is_edition_statement_of,,U176i is edition statement of@en,,,,
U177 has parallel edition statement,property,http://data.doremus.org/ontology#U177_has_parallel_edition_statement,,,,,mus:U177i_is_parallel_edition_statement_of,
U177i is parallel edition statement of,property,http://data.doremus.org/ontology#U177i_is_parallel_edition_statement_of,,U177i is parallel edition statement of@en,,,,
U178 has statement of responsibility relating to edition,property,http://data.doremus.org/ontology#U178_has_statement_of_responsibility_relating_to_edition,,,,,mus:U178i_is_statement_of_responsibility_relating_to_edition_of,
U178i is statement of responsibility relating to edition of,property,http://data.doremus.org/ontology#U178i_is_statement_of_responsibility_relating_to_edition_of,,U178i is statement of responsibility relating to edition of@en,,,,
U179 has parallel statement of responsibility relating to edition,property,http://data.doremus.org/ontology#U179_has_parallel_statement_of_responsibility_relating_to_edition,,,,,mus:U179i_is_parallel_statement_of_responsibility_relating_to_edition_of,
U179i is parallel statement of responsibility relating to edition of,property,http://data.doremus.org/ontology#U179i_is_parallel_statement_of_responsibility_relating_to_edition_of,,U179i is parallel statement of responsibility relating to edition of@en,,,,
U180 has additional edition statement,property,http://data.doremus.org/ontology#U180_has_additional_edition_statement,,,,,mus:U180i_is_additional_edition_statement_of,
U180i is additional edition statement of,property,http://data.doremus.org/ontology#U180i_is_additional_edition_statement_of,,U180i is additional edition statement of@en,,,,
U181 has parallel additional edition statement,property,http://data.doremus.org/ontology#U181_has_parallel_additional_edition_statement,,,,,mus:U181i_is_parallel_additional_edition_statement_of,
U181i is parallel additional edition statement of,property,http://data.doremus.org/ontology#U181i_is_parallel_additional_edition_statement_of,,U181i is parallel additional edition statement of@en,,,,
U182 has music format statement,property,http://data.doremus.org/ontology#U182_has_music_format_statement,,,,,mus:U182i_is_music_format_statement_of,
U182i is music format statement of,property,http://data.doremus.org/ontology#U182i_is_music_format_statement_of,,U182i is music format statement of@en,,,,
U183 has parallel music format statement,property,http://data.doremus.org/ontology#U183_has_parallel_music_format_statement,,,,,mus:U183i_is_parallel_music_format_statement_of,
U183i is parallel music format statement of,property,http://data.doremus.org/ontology#U183i_is_parallel_music_format_statement_of,,U183i is parallel music format statement of@en,,,,
U184 has publication statement,property,http://data.doremus.org/ontology#U184_has_publication_statement,,,,,mus:U184i_is_publication_statement_of,
U184i is publication statement of,property,http://data.doremus.org/ontology#U184i_is_publication_statement_of,,U184i is publication statement of@en,,,,
U185 has distribution statement,property,http://data.doremus.org/ontology#U185_has_distribution_statement,,,,,mus:U185i_is_distribution_statement_of,
U185i is distribution statement of,property,http://data.doremus.org/ontology#U185i_is_distribution_statement_of,,U185i is distribution statement of@en,,,,
U186 has printing or manufacture statement,property,http://data.doremus.org/ontology#U186_has_printing_or_manufacture_statement,,,,,mus:U186i_is_printing_or_manufacture_statement_of,
U186i is printing or manufacture statement of,property,http://data.doremus.org/ontology#U186i_is_printing_or_manufacture_statement_of,,U186i is printing or manufacture statement of@en,,,,
U187 has multipart monograph statement,property,http://data.doremus.org/ontology#U187_has_multipart_monographs_statement,,,,efrbroo:F24_Publication_Expression,,
U187i is multipart monograph statement of,property,http://data.doremus.org/ontology#M187i_is_multipart_monograph_statement_of,,,,,mus:U187_has_multipart_monographs_statement,
U188 has series statement,property,http://data.doremus.org/ontology#U188_has_series_statement,,,,,mus:U188i_is_series_statement_of,
U188i is series statement of,property,http://data.doremus.org/ontology#U188i_is_series_statement_of,,U188i is series statement of@en,,,,
U189 has main series statement,property,http://data.doremus.org/ontology#U189_has_main_series_statement,,,,efrbroo:F24_Publication_Expression,,
U189i is main series statement of,property,http://data.doremus.org/ontology#M189i_is_main_series_statement_of,,,,,mus:U189_has_main_series_statement,
U191 used equalization technique,property,http://data.doremus.org/ontology#U191_used_equalization_technique,,,,,mus:U191i_was_technique_of_equalization,
U191i was technique of equalization,property,http://data.doremus.org/ontology#U191i_was_technique_of_equalization,,U191i was technique of equalization@en,,,,
U192 used noise reduction technique,property,http://data.doremus.org/ontology#U192_used_noise_reduction_technique,,,,,mus:U192i_was_technique_of_noise_reduction,
U192i was technique of noise reduction,property,http://data.doremus.org/ontology#U192i_was_technique_of_noise_reduction,,U192i was technique of noise reduction@en,,,,
U193 used historical instruments,property,http://data.doremus.org/ontology#U193_used_historical_instruments,,,,efrbroo:F31_Performance,,
U194 has system requirements,property,http://data.doremus.org/ontology#U194_has_system_requirements,,,,ecrm:E71_Man-Made_Thing,,
U195 has order or location indication,property,http://data.doremus.org/ontology#U195_has_order_or_location_indication,,,,efrbroo:F2_Expression,,
U197 has binding,property,http://data.doremus.org/ontology#U197_has_binding,,,,,mus:U197i_is_binding_of,
U197i is binding of,property,http://data.doremus.org/ontology#U197i_is_binding_of,,U197i is binding of@en,,,,
U198 has container,property,http://data.doremus.org/ontology#U198_has_container,,,,efrbroo:F4_Manifestation_Singleton,,
U199 has sponsor,property,http://data.doremus.org/ontology#U199_has_sponsor,,,,efrbroo:F24_Publication_Expression,,
U200 has supplementary content,property,http://data.doremus.org/ontology#U200_has_supplementary_content,,,,efrbroo:F24_Publication_Expression,,
U201 has illustrative content,property,http://data.doremus.org/ontology#U201_has_illustrative_content,,,,efrbroo:F24_Publication_Expression,,
U202 has colour details,property,http://data.doremus.org/ontology#U202_has_colour_details,,,,efrbroo:F24_Publication_Expression,,
U203 has summary or abstract,property,http://data.doremus.org/ontology#U203_has_summary_or_abstract,,,,efrbroo:F24_Publication_Expression,,
U204 has reproduction note,property,http://data.doremus.org/ontology#U204_has_reproduction_note,,,,efrbroo:F24_Publication_Expression,,
U205 has cast detail,property,http://data.doremus.org/ontology#U205_has_cast_detail,,,,mus:M42_Performed_Expression_Creation,,
U206 has media type,property,http://data.doremus.org/ontology#U206_has_media_type,,,,,mus:U206i_is_media_type_of,
U206i is media type of,property,http://data.doremus.org/ontology#U206i_is_media_type_of,,U206i is media type of@en,,,,
U207 has  carrier type,property,http://data.doremus.org/ontology#U207_has_carrier_type,,,,efrbroo:F4_Manifestation_Singleton,,
U208 has extent of carrier,property,http://data.doremus.org/ontology#U208_has_extent_of_carrier,,,,efrbroo:F3_Manifestation_Product_Type,,
U210 has pagination,property,http://data.doremus.org/ontology#U210_has_pagination,,,,,mus:U210i_is_pagination_of,
U210i is pagination of,property,http://data.doremus.org/ontology#U210i_is_pagination_of,,U210i is pagination of@en,,,,
U211 has composition of material,property,http://data.doremus.org/ontology#U211_has_composition_of_material,,,,ecrm:E71_Man-Made_Thing,,
U212 has technical features,property,http://data.doremus.org/ontology#U212_has_technical_features,,,,ecrm:E71_Man-Made_Thing,,
U213 has recording method,property,http://data.doremus.org/ontology#U213_has_recording_method,,,,ecrm:E73_Information_Object,,
U214 has colour content,property,http://data.doremus.org/ontology#U214_has_colour_content,,,,efrbroo:F22_Self-Contained_Expression,,
U215  has groove caracteristics,property,http://data.doremus.org/ontology#U215_has_groove_caracteristics,,,,ecrm:E71_Man-Made_Thing,,
U216 has tape configuration,property,http://data.doremus.org/ontology#U216_has_tape_configuration,,,,ecrm:E71_Man-Made_Thing,,
U217 has playing speed,property,http://data.doremus.org/ontology#U217_has_playing_speed,,,,efrbroo:F4_Manifestation_Singleton,,
U218 used object of type for mastering,property,http://data.doremus.org/ontology#U218_used_object_of_type_for_mastering,,,,mus:M29_Editing,,
U219 used object of type for mixing,property,http://data.doremus.org/ontology#U219_used_object_of_type_for_mixing,,,,mus:M29_Editing,,
U220 has title and statement of responsibility,property,http://data.doremus.org/ontology#U220_has_title_and_statement_of_responsibility,,,,,mus:U220i_is_title_and_statement_of_responsibility_of,
U220i is title and statement of responsibility of,property,http://data.doremus.org/ontology#U220i_is_title_and_statement_of_responsibility_of,,U220i is title and statement of responsibility of@en,,,,
U221 has title proper of series,property,http://data.doremus.org/ontology#U221_has_title_proper_of_series,,,,,mus:U221i_is_title_proper_of_series_of,
U221i is  title proper of series of,property,http://data.doremus.org/ontology#U221i_is_title_proper_of_series_of,,U221i is  title proper of series of@en,,,,
U222 has title proper of sub-series,property,http://data.doremus.org/ontology#U222_has_title_proper_of_sub-series,,,,,mus:U222i_is_title_proper_of_sub-series_of,
U222i is title proper of sub-series of,property,http://data.doremus.org/ontology#U222i_is_title_proper_of_sub-series_of,,U222i is title proper of sub-series of@en,,,,
U223 has number of tape tracks,property,http://data.doremus.org/ontology#U223_has_number_of_tape_tracks,,,,,mus:U223i_is_number_of_tape_tracks_of,
U223i is number of tape tracks of,property,http://data.doremus.org/ontology#U223i_is_number_of_tape_tracks_of,,U223i is number of tape tracks of@en,,,,
U224 has title proper of multipart monograph,property,http://data.doremus.org/ontology#U224_has_title_proper_of_multipart_monograph,,,,,mus:U224i_is_title_proper_of_multipart_monograph_of,
U224i is title proper of multipart monograph of,property,http://data.doremus.org/ontology#U224i_is_title_proper_of_multipart_monograph_of,,U224i is title proper of multipart monograph of@en,,,,
U225 used number of sound channels,property,http://data.doremus.org/ontology#U225_used_sound_spatialization_technique,,,,,mus:U225i_was_sound_spatialization_technique_of,
U225i was sound spatialization technique of,property,http://data.doremus.org/ontology#U225i_was_sound_spatialization_technique_of,,U225i was sound spatialization technique of@en,,,,
U226 has responsibility detail,property,http://data.doremus.org/ontology#U226_has_responsibility_detail,,,,efrbroo:F28_Expression_Creation,,
U227 has content type,property,http://data.doremus.org/ontology#U227_has_content_type,,,,,mus:U227i_is_content_type_of,
mus:U227i_is_content_type_of,property,http://data.doremus.org/ontology#U227i_is_content_type_of,,,,,,ecrm:P2i_is_type_of
U226 has other distinguishing characteristic of expression,property,http://data.doremus.org/ontology#U228_has_other_distinguishing_characteristic_of_expression,,,,efrbroo:F22_Self-Contained_Expression,,
U229 has music format,property,http://data.doremus.org/ontology#U229_has_music_format,,,,,mus:U229i_is_music_format_of,
mus:U229i_is_music_format_of,property,http://data.doremus.org/ontology#U229i_is_music_format_of,,,,,,ecrm:P2i_is_type_of
