,Element,URI,Description,Label,EquivalentClass,Domain,InverseOf,ParentProperty
M42 Performed Expression Creation,class,http://data.doremus.org/ontology#M42_Performed_Expression_Creation,,M42 Performed Expression Creation@enM42 Création d'Expression interprétée@fr,,,,
M43 Performed Expression,class,http://data.doremus.org/ontology#M43_Performed_Expression,,M43 Performed Expression@enM43 Expression interprétée@fr,,,,
M44 Performed Work,class,http://data.doremus.org/ontology#M44_Performed_Work,,M44 Performed Work@enM44 Oeuvre interprétée@fr,,,,
M45 Descriptive Expression Assignment,class,http://data.doremus.org/ontology#M45_Descriptive_Expression_Assignment,,M45 Descriptive Expression Assignment@enM45 Attribution d'Expression Descriptive@fr,,,,
M46 Set of Tracks,class,http://data.doremus.org/ontology#M46_Set_of_Tracks,Scope Note : ensemble des pistes constituant un enregistrement publié.@fr,,,,,
M47 WoO Number,class,http://data.doremus.org/ontology#M47_WoO_Number,,M47 WoO Number@enM47 Numéro de WoO@fr,,,,
M48 WoO Subnumber,class,http://data.doremus.org/ontology#M48_WoO_Subnumber,,M48 WoO Subnumber@enWoO sous-numéro@fr,,,,
M49 Performer status,class,http://data.doremus.org/ontology#M49_Performer_Status,,M49 Performer status@enM49 Statut de l'interprète@fr,,,,
M50 Performance mode,class,http://data.doremus.org/ontology#M50_Creation_or_Performance_Mode,,M50 Performance mode@enM50 Mode de performance@fr,,,,
M51 Type of recording equipment,class,http://data.doremus.org/ontology#M51_Type_Of_Recording_Equipment,,M51 Type of recording equipment@enM51 Type d'équipement d'enregistrement@fr,,,,
M52 Equalization technique,class,http://data.doremus.org/ontology#M52_Equalization_Technique,,M52 Equalization technique@enM52 Technique d'équalisation@fr,,,,
M53 Noise reduction  technique,class,http://data.doremus.org/ontology#M53_Noise_Reduction_Technique,,M53 Noise reduction  technique@frM53 Technique de réduction de bruit@fr,,,,
M54 Sound spatialization technique,class,http://data.doremus.org/ontology#M54_Sound_Spatialization_Technique,,M54 Sound spatialization technique@enM54 Technique de spatialisation du son@fr,,,,
M55 Condition of performance,class,http://data.doremus.org/ontology#M55_Condition_of_Performance,,M55 Condition of performance@enM55 Condition de la performance@fr,,,,
M57 Vocal or instrumental technique,class,http://data.doremus.org/ontology#M57_Vocal_or_Instrumental_Technique,,M57 Vocal or instrumental technique@enM57 Technique vocale ou instrumentale@fr,,,,
M58 Programming Work,class,http://data.doremus.org/ontology#M58_Programming_Work,,M58 Programming Work@enM58 Oeuvre de programmation@fr,,,,
M59 Program,class,http://data.doremus.org/ontology#M59_Program,,M59 Program@enM59 Programme@fr,,,,
M60 Intended audience,class,http://data.doremus.org/ontology#M60_Intended_Audience,,M60 Intended audience@enM60 Public visé@fr,,,,
M61 Work type,class,http://data.doremus.org/ontology#M61_Work_Type,,M61 Work type@enM61 Type d'oeuvre@fr,,,,
M62 Hierarchical level,class,http://data.doremus.org/ontology#M62_Hierarchical_Level,,M62 Hierarchical level@enM62 Niveau hiérarchique@fr,,,,
M154 Label name,class,http://data.doremus.org/ontology#M154_Label_Name,,M154 Label name@enM154 Nom du libellé@fr,,,,
M155 Cast statement,class,http://data.doremus.org/ontology#M155_Cast_Statement,,M155 Cast statement@en,,,,
M156 Title statement,class,http://data.doremus.org/ontology#M156_Title_Statement,,M156 Title statement@en,,,,
M157 Statement of responsibility,class,http://data.doremus.org/ontology#M157_Statement_of_Responsibility,,M157 Statement of responsibility@en,,,,
M158 Title and statement of responsability,class,http://data.doremus.org/ontology#M158_Title_and_Statement_of_Responsibility,,M158 Title and statement of responsability@en,,,,
M159 Edition statement,class,http://data.doremus.org/ontology#M159_Edition_Statement,,M159 Edition statement@en,,,,
M160 Publication statement,class,http://data.doremus.org/ontology#M160_Publication_Statement,,M160 Publication statement@en,,,,
M161 Distribution statement,class,http://data.doremus.org/ontology#M161_Distribution_Statement,,M161 Distribution statement@en,,,,
M162 Series statement,class,http://data.doremus.org/ontology#M162_Series_Statement,,M162 Series statement@en,,,,
M163 Music format statement,class,http://data.doremus.org/ontology#M163_Music_Format_Statement,,M163 Music format statement@en,,,,
M164 Multipart monograph statement,class,http://data.doremus.org/ontology#M164_Multipart_Monograph_Statement,,M164 Multipart monograph statement@en,,,,
M165 Title proper of series,class,http://data.doremus.org/ontology#M165_Title_Proper_of_Series,,M165 Title proper of series@enM165 Titre propre de la série@fr,,,,
M166 Title proper of multipart monograph,class,http://data.doremus.org/ontology#M166_Title_Proper_of_Multipart_Monograph,,M166 Title proper of multipart monograph@enM166 Titre propre de monographie multipartie@fr,,,,
M167 Publication expression fragment,class,http://data.doremus.org/ontology#M167_Publication_Expression_Fragment,,M167 Publication expression fragment@enM167 Fragment d'expression de publication@fr,,,,
M168 Media type,class,http://data.doremus.org/ontology#M168_Media_Type,,M168 Media type@enM168 Type de média@fr,,,,
M169 Carrier type,class,http://data.doremus.org/ontology#M169_Carrier_Type,,M169 Carrier type@enM169 Type de support@fr,,,,
M170 Binding,class,http://data.doremus.org/ontology#M170_Binding,,M170 Binding@enM170 Reliure@fr,,,,
M171 Container,class,http://data.doremus.org/ontology#M171_Container,,M171 Container@en,,,,
